@relation Enem2019IFmuz

@attribute NU_NOTA_CN Numeric
@attribute NU_NOTA_CH Numeric
@attribute NU_NOTA_LC Numeric
@attribute NU_NOTA_MT Numeric
@attribute NU_NOTA_REDACAO Numeric
@attribute SEXO {'Masculino','Feminino'}
@attribute COR_RACA {'Nao declarado','Branca','Preta','Parda','Amarela','Indigena'}
@attribute TIPO_ESCOLA {'Nao Respondeu','Publica','Privada','Exterior'}
@attribute ESCOLARIDADE_PAI {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute ESCOLARIDADE_MAE {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute RENDA_FAMILIAR {'Nenhuma renda','Ate R$998,00','De R$998,01 ate R$1494,00','De R$1494,00 ate R$1996,00','De R$1996,01 ate R$2495,00','De R$2495,01 ate R$2994,00','De R$2994,01 ate R$3992,00','De R$3992,01 ate R$4990,0','De R$4990,01 ate R$5988,00','De R$5988,01 ate R$6986,00','De R$6986,01 ate R$7984,00','De R$7984,01 ate R$8982,00','De R$8982,01 ate R$9980,00','De R$9980,01 ate R$11976,00','De R$11976,01 ate R$14970,00','De R$14970,01 ate R$19960,00','Mais de R$19960,00'}
@attribute POSSUI_COMPUTADOR {'Nao','Sim,um','Sim,dois','Sim,tres','Sim,quatro ou mais'}
@attribute ACESSO_INTERNET {'Nao','Sim'}
@attribute NOTA_CIENCIASNATUREZA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_CIENCIASHUMANAS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_LINGUAGENSCODIGOS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_MATEMATICA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_REDACAO {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}

@data
544.8,510.6,551.6,611.5,620.0,'Feminino','Preta','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2994,01 ate R$3992,00','Sim,dois','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
583.9,565.9,565.9,705.9,740.0,'Masculino','Parda','Privada','Nao Completou 4serie/5ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_700-800'
414.8,569.4,580.2,620.4,760.0,'Feminino','Parda','Publica','Nao Completou 4serie/5ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
560.7,591.6,562.8,592.5,960.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_900-1000'
418.3,476.9,534.6,625.2,480.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$6986,01 ate R$7984,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Entre_500-600','Entre_600-700','Abaixo_500'
591.2,629.5,604.1,644.1,680.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$998,01 ate R$1494,00','Nao','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700'
493.7,559.0,555.6,621.8,600.0,'Feminino','Preta','Publica','Completou 4serie/5ano','Completou Ensino Medio','Ate R$998,00','Nao','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_500-600'
575.2,511.6,513.3,697.8,600.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_500-600'
526.6,606.4,581.8,585.2,720.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_500-600','Entre_700-800'
573.2,609.9,598.6,768.6,760.0,'Feminino','Branca','Publica','Completou Pos-graduacao','Completou Ensino Medio','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_700-800','Entre_700-800'
