;TP_SEXO;TP_COR_RACA;TP_ESCOLA;CO_ESCOLA;NO_MUNICIPIO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q024;Q025
244052;F;2;2;31242624.0;Muzambinho;544.8;510.6;551.6;611.5;620.0;E;E;G;C;B
277300;M;3;3;31242624.0;Muzambinho;583.9;565.9;565.9;705.9;740.0;B;C;C;B;B
280407;F;3;2;31242624.0;Muzambinho;414.8;569.4;580.2;620.4;760.0;B;C;C;B;B
283835;F;1;2;31242624.0;Muzambinho;560.7;591.6;562.8;592.5;960.0;E;D;G;B;B
287017;M;1;2;31242624.0;Muzambinho;418.3;476.9;534.6;625.2;480.0;E;G;K;B;B
288473;F;1;2;31242624.0;Muzambinho;591.2;629.5;604.1;644.1;680.0;D;D;C;A;B
294668;F;2;2;31242624.0;Muzambinho;493.7;559.0;555.6;621.8;600.0;C;E;B;A;B
298173;M;1;2;31242624.0;Muzambinho;575.2;511.6;513.3;697.8;600.0;D;D;F;B;B
303696;F;1;2;31242624.0;Muzambinho;526.6;606.4;581.8;585.2;720.0;D;C;C;B;B
309440;F;1;2;31242624.0;Muzambinho;573.2;609.9;598.6;768.6;760.0;G;E;F;B;B
316547;F;1;2;31242624.0;Muzambinho;556.7;603.3;591.7;640.0;780.0;E;E;K;D;B
319924;F;1;2;31242624.0;Muzambinho;614.0;602.0;593.0;583.1;780.0;C;F;D;B;B
323432;F;1;2;31242624.0;Muzambinho;544.9;669.0;618.4;740.1;780.0;E;E;D;B;B
323555;M;1;2;31242624.0;Muzambinho;607.1;593.8;639.2;736.1;760.0;B;B;D;B;B
622471;F;1;2;31242624.0;Muzambinho;568.7;595.7;567.3;367.7;660.0;B;E;C;B;B
623322;F;1;2;31242624.0;Muzambinho;532.0;551.4;540.0;582.1;640.0;C;D;B;A;B
623966;F;1;2;31242624.0;Muzambinho;597.2;628.8;625.2;816.4;860.0;E;G;E;B;B
627909;M;1;2;31242624.0;Muzambinho;616.8;654.5;628.4;852.4;600.0;E;G;N;C;B
631577;F;3;2;31242624.0;Muzambinho;510.1;529.3;541.7;502.2;780.0;C;B;F;B;B
640466;F;1;2;31242624.0;Muzambinho;507.6;368.8;559.7;383.6;440.0;E;E;C;A;B
641876;F;1;2;31242624.0;Muzambinho;605.3;598.1;618.5;693.5;600.0;A;E;B;B;B
646379;F;1;2;31242624.0;Muzambinho;576.1;641.1;606.0;755.5;700.0;D;F;E;B;B
660128;F;1;2;31242624.0;Muzambinho;489.2;507.6;565.9;525.6;800.0;E;E;E;B;B
662244;F;3;2;31242624.0;Muzambinho;574.0;552.9;522.1;633.8;720.0;E;E;E;B;B
663310;F;2;2;31242624.0;Muzambinho;510.3;520.1;529.5;397.4;660.0;F;F;C;C;B
