;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
0;544.8;510.6;551.6;611.5;620.0
1;583.9;565.9;565.9;705.9;740.0
2;414.8;569.4;580.2;620.4;760.0
3;560.7;591.6;562.8;592.5;960.0
4;418.3;476.9;534.6;625.2;480.0
5;591.2;629.5;604.1;644.1;680.0
6;493.7;559.0;555.6;621.8;600.0
7;575.2;511.6;513.3;697.8;600.0
8;526.6;606.4;581.8;585.2;720.0
9;573.2;609.9;598.6;768.6;760.0
10;556.7;603.3;591.7;640.0;780.0
11;614.0;602.0;593.0;583.1;780.0
12;544.9;669.0;618.4;740.1;780.0
13;607.1;593.8;639.2;736.1;760.0
14;568.7;595.7;567.3;367.7;660.0
15;532.0;551.4;540.0;582.1;640.0
16;597.2;628.8;625.2;816.4;860.0
17;616.8;654.5;628.4;852.4;600.0
18;510.1;529.3;541.7;502.2;780.0
19;507.6;368.8;559.7;383.6;440.0
20;605.3;598.1;618.5;693.5;600.0
21;576.1;641.1;606.0;755.5;700.0
22;489.2;507.6;565.9;525.6;800.0
23;574.0;552.9;522.1;633.8;720.0
24;510.3;520.1;529.5;397.4;660.0
25;588.6;675.6;614.5;722.7;880.0
26;482.6;470.5;463.2;426.3;600.0
27;634.1;607.1;620.4;680.0;820.0
28;518.2;502.3;546.4;539.5;640.0
29;477.8;562.5;521.7;662.2;360.0
30;610.0;504.7;506.4;604.1;760.0
31;579.0;579.6;561.7;650.4;740.0
32;457.3;515.2;488.7;631.8;840.0
33;578.1;548.6;556.6;650.7;680.0
34;528.3;524.0;527.5;525.8;600.0
35;583.1;625.7;614.1;702.6;840.0
36;602.6;575.1;530.1;524.9;660.0
37;545.2;573.8;600.6;621.5;840.0
38;569.2;520.6;519.9;615.7;600.0
39;549.2;602.2;598.5;589.6;840.0
40;561.2;628.5;636.0;663.2;780.0
41;490.4;515.2;511.0;630.8;780.0
42;486.7;502.6;530.0;535.4;680.0
43;539.7;634.2;585.5;657.8;900.0
44;476.0;494.4;492.5;536.5;600.0
45;580.3;581.4;597.7;733.1;620.0
46;375.1;332.1;531.4;742.1;660.0
47;554.3;612.2;554.4;580.2;720.0
48;606.0;636.5;625.3;678.5;840.0
49;485.6;553.0;522.2;494.0;740.0
50;566.6;589.4;547.2;481.7;740.0
51;512.8;493.0;541.0;783.1;820.0
52;520.8;448.0;554.0;541.6;660.0
53;583.8;548.0;566.5;731.8;700.0
54;486.0;548.7;541.2;609.9;680.0
55;549.5;564.1;588.8;644.2;660.0
56;636.7;632.5;617.8;614.3;680.0
57;489.6;459.1;496.4;461.2;580.0
58;537.2;495.9;578.5;665.5;800.0
59;617.8;580.0;581.0;674.0;600.0
60;493.2;410.7;539.8;513.6;560.0
61;603.9;600.8;595.1;672.8;660.0
62;605.0;609.0;628.7;814.0;820.0
63;589.6;555.8;584.0;692.8;640.0
64;565.4;612.7;588.3;611.0;940.0
65;541.9;502.8;531.4;378.5;880.0
66;589.4;558.7;591.9;692.5;780.0
67;571.1;600.5;563.7;678.7;720.0
68;473.5;604.2;580.8;584.7;760.0
69;507.8;411.4;501.2;405.1;580.0
70;491.5;575.5;535.3;529.2;360.0
71;552.2;542.4;561.1;463.9;600.0
72;602.5;549.4;585.6;652.3;760.0
73;582.4;623.1;619.4;678.8;920.0
74;522.8;507.7;471.8;596.9;700.0
75;602.8;633.3;614.9;800.0;640.0
76;565.1;541.2;544.2;461.4;660.0
77;513.3;507.4;502.8;667.0;740.0
78;570.6;599.1;597.4;542.0;800.0
79;488.3;574.0;564.8;670.2;820.0
80;528.2;412.0;520.0;515.2;580.0
81;570.3;577.4;517.9;740.5;680.0
82;513.6;498.7;548.2;545.3;560.0
83;628.3;624.6;595.4;742.5;800.0
84;546.6;534.3;562.2;703.1;780.0
85;542.0;571.5;575.8;635.9;720.0
86;513.7;486.1;558.6;620.5;680.0
87;476.4;463.1;525.2;563.1;300.0
88;591.1;605.3;608.2;669.1;660.0
89;569.4;552.1;580.6;647.4;780.0
90;560.3;607.8;525.3;719.8;740.0
91;559.1;622.8;626.0;650.8;780.0
92;569.2;578.7;555.9;655.8;820.0
93;452.9;548.5;580.5;590.8;720.0
